,Loss_State_Space
985,[1.0772764682769775]
986,[1.019524335861206]
987,[8.595415115356445]
988,[0.9015616178512573]
989,[1.797181248664856]
990,[12.448227882385254]
991,[1.2343113422393799]
992,[2.7163519859313965]
993,[1.9185948371887207]
994,[1.9058321714401245]
995,[4.2824835777282715]
996,[0.7253273129463196]
997,[2.287839412689209]
998,[0.7924746870994568]
999,[0.6431992053985596]
1000,[1.7204439640045166]
1001,[0.843487560749054]
1002,[0.7415098547935486]
1003,[1.6338850259780884]
1004,[1.3030080795288086]
1005,[2.060506582260132]
1006,[1.8917996883392334]
1007,[2.010205030441284]
1008,[2.5119218826293945]
1009,[6.29172420501709]
1010,[1.0126943588256836]
1011,[1.7101422548294067]
1012,[2.9705922603607178]
1013,[0.5071936845779419]
1014,[10.3585205078125]
1015,[0.9513684511184692]
1016,[2.007906913757324]
1017,[0.48255792260169983]
1018,[3.067014455795288]
1019,[0.6749768257141113]
1020,[1.4224271774291992]
1021,[0.5432038307189941]
1022,[1.0586214065551758]
1023,[0.6009489297866821]
1024,[0.9572301506996155]
1025,[5.737753868103027]
1026,[0.696044921875]
1027,[1.508895993232727]
1028,[6.867702960968018]
1029,[1.2321984767913818]
1030,[0.9579306840896606]
1031,[13.264801025390625]
1032,[2.6607089042663574]
1033,[0.8289920091629028]
1034,[0.44450879096984863]
1035,[1.1232191324234009]
1036,[0.7256800532341003]
1037,[2.1745760440826416]
1038,[1.830113172531128]
1039,[1.9523639678955078]
1040,[26.125389099121094]
1041,[1.1281120777130127]
1042,[4.673759460449219]
1043,[1.4615821838378906]
1044,[1.7817683219909668]
1045,[0.8595109581947327]
1046,[0.9855132102966309]
1047,[0.8868462443351746]
1048,[0.9012638330459595]
1049,[0.8887228965759277]
1050,[1.246166706085205]
1051,[22.12158966064453]
1052,[0.3539644479751587]
1053,[1.3947267532348633]
1054,[1.0255279541015625]
1055,[0.6441938877105713]
1056,[0.700920045375824]
1057,[0.7279968857765198]
1058,[0.9914764165878296]
1059,[3.0378541946411133]
1060,[0.8887871503829956]
1061,[2.962785482406616]
1062,[0.5409135222434998]
1063,[0.7809698581695557]
1064,[1.0197069644927979]
1065,[0.5185677409172058]
1066,[1.1442071199417114]
1067,[0.9794186353683472]
1068,[0.9541293978691101]
1069,[0.8241995573043823]
1070,[0.9577859044075012]
1071,[1.096271276473999]
1072,[0.6461389660835266]
1073,[0.5925145149230957]
1074,[0.5254291296005249]
1075,[0.8196870684623718]
1076,[0.6683089137077332]
1077,[0.6948028802871704]
1078,[1.034471869468689]
1079,[0.722774863243103]
1080,[4.189856052398682]
1081,[1.0458134412765503]
1082,[1.049727439880371]
1083,[1.2914011478424072]
1084,[4.468775272369385]
1085,[2.505789041519165]
1086,[0.8946970701217651]
1087,[6.171230792999268]
1088,[1.4297319650650024]
1089,[1.0823686122894287]
1090,[1.2954399585723877]
1091,[12.66830062866211]
1092,[0.7169086933135986]
1093,[2.9128990173339844]
1094,[2.396728515625]
1095,[1.3346962928771973]
1096,[1.0474178791046143]
1097,[0.8319193124771118]
1098,[1.1194369792938232]
1099,[1.2197577953338623]
1100,[0.5707347989082336]
1101,[0.4696846306324005]
1102,[0.5109769105911255]
1103,[4.377263069152832]
1104,[2.0154452323913574]
1105,[6.795429229736328]
1106,[0.5800168514251709]
1107,[0.7821842432022095]
1108,[0.490715354681015]
1109,[4.272582054138184]
1110,[2.108790874481201]
1111,[0.9087220430374146]
1112,[1.2442712783813477]
1113,[1.9767985343933105]
1114,[0.8997251987457275]
1115,[0.4602397084236145]
1116,[0.7571362257003784]
1117,[0.9580904245376587]
1118,[1.4771547317504883]
1119,[0.21001887321472168]
1120,[0.8645795583724976]
1121,[0.8888927698135376]
1122,[2.785984992980957]
1123,[0.3121269643306732]
1124,[3.8056156635284424]
1125,[4.305953025817871]
1126,[0.5710904598236084]
1127,[0.5653600692749023]
1128,[0.5398363471031189]
1129,[0.8621281385421753]
1130,[10.784435272216797]
1131,[1.9473174810409546]
1132,[3.9739630222320557]
1133,[2.286813735961914]
